solar,wind,load,battery,weather,time
4.5,1.2,3.0,80,Sunny,Morning
5.8,0.8,3.5,75,Sunny,Afternoon
2.0,1.5,4.0,60,Cloudy,Afternoon
0.3,2.0,3.2,55,Rainy,Evening
0.1,1.8,2.5,40,Rainy,Night
6.0,1.0,2.8,90,Sunny,Afternoon
3.2,1.4,3.5,70,Sunny,Morning
1.5,2.2,4.5,45,Cloudy,Evening
0.2,2.5,3.0,35,Rainy,Night
4.0,0.5,5.0,25,Sunny,Afternoon
5.5,1.1,4.2,85,Sunny,Morning
2.8,1.6,3.8,50,Cloudy,Morning
1.0,2.0,4.0,30,Cloudy,Evening
0.4,1.9,2.8,20,Rainy,Night
3.5,0.9,3.2,65,Sunny,Evening
4.8,1.3,2.5,88,Sunny,Afternoon
2.2,1.7,3.6,55,Cloudy,Afternoon
0.5,2.3,4.1,42,Rainy,Evening
0.1,1.5,2.0,70,Cloudy,Night
5.0,0.7,3.8,78,Sunny,Morning
3.8,1.2,4.5,33,Sunny,Evening
1.8,2.1,3.3,48,Cloudy,Morning
0.6,2.4,3.7,28,Rainy,Afternoon
4.2,1.0,2.9,92,Sunny,Afternoon
2.5,1.8,5.2,38,Cloudy,Evening
0.3,1.6,2.2,60,Rainy,Night
5.2,0.6,3.1,82,Sunny,Morning
1.2,2.0,4.8,22,Cloudy,Night
3.0,1.5,3.4,72,Sunny,Evening
2.0,1.4,2.6,58,Cloudy,Afternoon
